,x,y
177,-0.1,31.784427034338
116,-0.2,31.703892522772044
102,-0.3,31.64252868290983
125,-0.4,31.56908799996683
180,-0.5,31.516486005306554
12,-0.6,31.449030678621092
72,-0.7,31.371738520870842
104,-0.8,31.30349001616459
48,-0.9,31.22970644906531
172,-1.0,31.139360397582035
6,0.0,31.855121903759034
26,0.1,31.916845258461354
96,0.2,31.965327735904342
85,0.3,32.04790399912494
134,0.4,32.08445363123526
38,0.5,32.157661413469704
186,0.6,32.204121722641865
121,0.7,32.292283291328204
31,0.8,32.35368608961174
9,0.9,32.409903067912495
178,1.0,32.48152241522072
93,1.1,32.517248585544486
108,1.2,32.57045957439148
107,1.3,32.64417571566687
138,1.4,32.69774483316379
75,1.5,32.76744585916321
135,1.6,32.78209171002092
145,1.7,32.84153901521004
1,1.8,32.93091097153791
14,1.9,32.94496936626167
51,10.0,34.86032490823159
136,10.1,34.854679294762214
124,10.2,34.89197644081068
162,10.3,34.87612102634732
188,10.4,34.90965552150741
171,10.5,34.912282069993
206,10.6,34.91122756010161
130,10.7,34.88590612841533
24,10.8,34.9384383427327
37,10.9,34.9272557668839
35,11.0,34.928830470185176
194,11.1,34.93033407632424
88,11.2,34.90832215444192
120,11.3,34.977283181280235
173,11.4,34.905007971280064
154,11.5,34.94541152654849
55,11.6,34.96447426179698
207,11.7,34.95493820571522
197,11.8,34.9261347370189
84,11.9,34.97374637261202
23,12.0,34.97462972173749
67,12.1,34.94970373130406
175,12.2,34.98386218297735
176,12.3,34.98852053889112
66,12.4,34.98791265574535
142,12.5,35.01403681572398
158,12.6,34.96392492924481
16,12.7,34.960093496498914
190,12.8,34.97034084547678
156,12.9,34.99390164712293
204,13.0,34.9316068011702
187,13.1,34.986230073585766
4,13.2,34.9759125112877
137,13.3,34.97928566596337
34,13.4,34.99858171701697
189,13.5,34.99203361591712
209,13.6,35.009895244953654
53,13.7,34.975726808645064
200,13.8,34.98777496557392
163,13.9,34.95772754501218
98,14.0,35.052874016137615
73,14.1,35.00946910046205
19,14.2,35.00355853525719
59,14.3,34.973714499563016
8,14.4,35.010669720939184
33,14.5,34.99879387279903
105,14.6,35.00791225433528
86,14.7,34.98927470130028
46,14.8,34.93794559876283
10,14.9,34.9849081173248
80,15.0,34.9749143826976
97,15.1,34.960141667034726
144,15.2,34.98719819812734
185,15.3,34.99397025582644
202,15.4,34.987170148391805
7,15.5,35.00007949360167
61,15.6,34.98676688805657
208,15.7,34.9456602206689
110,15.8,34.97004825374346
168,15.9,34.99194623451223
118,16.0,34.97443858199636
25,16.1,34.98870389662547
159,16.2,34.990325550886816
117,16.3,34.99643236379098
44,16.4,34.983966479910144
123,16.5,35.003939186371035
155,16.6,35.026805622829244
141,16.7,34.98137037310273
28,16.8,35.00954215622615
192,16.9,34.95750819354774
36,17.0,34.99023111420492
122,17.1,34.980469508446866
40,17.2,34.97997253079362
133,17.3,34.99260478799962
201,17.4,34.99806037956053
179,17.5,35.01824329662824
17,17.6,34.97033388969487
100,17.7,35.01321994362774
182,17.8,35.0047474006518
106,17.9,35.012412390606634
68,18.0,35.04168467253702
42,18.1,35.01016514138123
126,18.2,35.01258696016969
92,18.3,34.97127836193789
3,18.4,34.984373432361515
49,18.5,35.02960517692255
56,18.6,34.966237702748465
160,18.7,35.03163827833095
65,18.8,34.968675164785346
45,18.9,34.98488447936875
90,19.0,34.99568324695457
112,19.1,34.96598791525215
99,19.2,34.98216219412945
18,19.3,35.021689638919014
21,19.4,34.97208600752626
50,19.5,35.00281905738744
62,19.6,34.98683361470929
149,19.7,35.02955754776446
205,19.8,34.99782126816783
5,19.9,34.98412689641553
29,2.0,33.00216354721051
127,2.1,33.06236916697347
164,2.2,33.067320682487455
64,2.3,33.154213053445645
193,2.4,33.198493211992826
147,2.5,33.25609377023319
27,2.6,33.28215373933182
74,2.7,33.3459064988699
157,2.8,33.397264131958615
87,2.9,33.42287305088322
79,3.0,33.45309049174192
203,3.1,33.51026170146864
111,3.2,33.52351505141809
63,3.3,33.597569289934476
170,3.4,33.61032322497687
32,3.5,33.65762406151735
150,3.6,33.6795775245621
174,3.7,33.76816929854336
91,3.8,33.78650983832144
89,3.9,33.80634928363543
114,4.0,33.85021862531418
57,4.1,33.88745746988601
15,4.2,33.92226583824002
83,4.3,33.950748454755754
30,4.4,33.95551261430975
152,4.5,34.004353299357234
94,4.6,34.03409748439078
95,4.7,34.05865485549666
181,4.8,34.082742046726345
169,4.9,34.118520877607715
103,5.0,34.115573870735695
81,5.1,34.21839390070088
183,5.2,34.21211748487846
69,5.3,34.247026084508214
43,5.4,34.248120615135484
109,5.5,34.29575693566758
161,5.6,34.3167457596024
129,5.7,34.33391204390712
113,5.8,34.36605052962766
22,5.9,34.38576937604033
139,6.0,34.39190864011148
148,6.1,34.38872615750061
115,6.2,34.423927374831116
191,6.3,34.47658028264107
13,6.4,34.44434872082194
151,6.5,34.55724210496542
128,6.6,34.517889276881164
0,6.7,34.51945026595711
198,6.8,34.58848720970464
165,6.9,34.56319787181938
184,7.0,34.60181590640768
78,7.1,34.59639250489379
77,7.2,34.6176821332381
71,7.3,34.66322379301874
153,7.4,34.66478681788783
167,7.5,34.692055195578675
2,7.6,34.6481710147352
146,7.7,34.67332072771174
70,7.8,34.713358603174086
140,7.9,34.71375438992431
196,8.0,34.70680711075205
101,8.1,34.70988878733533
47,8.2,34.678243480685396
52,8.3,34.79663754673185
58,8.4,34.73444424966924
76,8.5,34.76785333949797
143,8.6,34.76651946508137
41,8.7,34.79645341702299
39,8.8,34.81938486522477
60,8.9,34.82437012779498
166,9.0,34.83308209441877
54,9.1,34.81211720129756
82,9.2,34.84986089386171
132,9.3,34.82392794532667
131,9.4,34.84509889737503
20,9.5,34.8575019670619
11,9.6,34.871398725069945
119,9.7,34.8797159474737
195,9.8,34.87856942428477
199,9.9,34.88323091103462
